ID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27
M1,1.0000,0.8055,0.8382,0.8338,0.7668,0.7733,0.7166,0.7402,0.7990,0.7782,0.8086,0.7423,0.7517,0.7519,0.7650,0.7691,0.7766,0.7415,0.7375,0.7154,0.7081,0.7247,0.6901,0.6920,0.6821,0.6931,0.6809
M2,0.8055,1.0000,0.8271,0.8247,0.7462,0.8559,0.8075,0.7390,0.8524,0.7344,0.8263,0.7748,0.8698,0.7504,0.7983,0.7848,0.7324,0.7530,0.8111,0.7748,0.8174,0.8306,0.7722,0.7802,0.7016,0.8020,0.7592
M3,0.8382,0.8271,1.0000,0.8535,0.7919,0.8323,0.7136,0.7288,0.7571,0.7872,0.8253,0.7208,0.7475,0.7197,0.7985,0.8551,0.7471,0.7401,0.6966,0.7474,0.6989,0.7252,0.6752,0.6642,0.6767,0.6814,0.7000
M4,0.8338,0.8247,0.8535,1.0000,0.7540,0.8512,0.7512,0.7518,0.8252,0.7236,0.8424,0.7662,0.7723,0.7633,0.7841,0.7955,0.7377,0.7534,0.7905,0.7115,0.7616,0.7447,0.7533,0.7248,0.6938,0.7519,0.7102
M5,0.7668,0.7462,0.7919,0.7540,1.0000,0.7551,0.7176,0.7680,0.7404,0.8186,0.7726,0.7559,0.7159,0.7124,0.7565,0.7612,0.7461,0.7348,0.7134,0.7721,0.7350,0.6773,0.7037,0.7127,0.6702,0.6862,0.6757
M6,0.7733,0.8559,0.8323,0.8512,0.7551,1.0000,0.8163,0.7600,0.8624,0.7393,0.8281,0.7684,0.8360,0.7995,0.8240,0.7898,0.7109,0.7763,0.8082,0.7831,0.7501,0.8108,0.8170,0.7212,0.7423,0.7879,0.7453
M7,0.7166,0.8075,0.7136,0.7512,0.7176,0.8163,1.0000,0.8005,0.8464,0.7102,0.7913,0.8029,0.8163,0.8744,0.7766,0.7401,0.7493,0.7781,0.7951,0.7336,0.8124,0.7517,0.7938,0.7586,0.6802,0.7609,0.6940
M8,0.7402,0.7390,0.7288,0.7518,0.7680,0.7600,0.8005,1.0000,0.7929,0.7488,0.7702,0.7770,0.7564,0.7755,0.7485,0.7102,0.7393,0.7643,0.7544,0.7627,0.7575,0.6815,0.7579,0.7313,0.6816,0.7505,0.6817
M9,0.7990,0.8524,0.7571,0.8252,0.7404,0.8624,0.8464,0.7929,1.0000,0.7130,0.8363,0.7854,0.8319,0.7904,0.7940,0.7381,0.7229,0.8264,0.8721,0.7583,0.7848,0.8314,0.8640,0.7500,0.7271,0.8241,0.7253
M10,0.7782,0.7344,0.7872,0.7236,0.8186,0.7393,0.7102,0.7488,0.7130,1.0000,0.7674,0.7450,0.6801,0.6989,0.7412,0.7876,0.7993,0.6886,0.6494,0.7071,0.6775,0.6207,0.6545,0.6890,0.6076,0.6309,0.6474
M11,0.8086,0.8263,0.8253,0.8424,0.7726,0.8281,0.7913,0.7702,0.8363,0.7674,1.0000,0.7626,0.8080,0.7796,0.8879,0.8002,0.7754,0.7864,0.7618,0.7627,0.7678,0.7512,0.7600,0.7232,0.7180,0.7638,0.7346
M12,0.7423,0.7748,0.7208,0.7662,0.7559,0.7684,0.8029,0.7770,0.7854,0.7450,0.7626,1.0000,0.8133,0.7415,0.7606,0.7040,0.7151,0.7358,0.7470,0.8187,0.7629,0.7044,0.7731,0.7359,0.6413,0.7361,0.7352
M13,0.7517,0.8698,0.7475,0.7723,0.7159,0.8360,0.8163,0.7564,0.8319,0.6801,0.8080,0.8133,1.0000,0.7617,0.8298,0.6996,0.7010,0.7612,0.8040,0.7819,0.8225,0.8048,0.8048,0.7870,0.6880,0.8351,0.7903
M14,0.7519,0.7504,0.7197,0.7633,0.7124,0.7995,0.8744,0.7755,0.7904,0.6989,0.7796,0.7415,0.7617,1.0000,0.7467,0.7062,0.7441,0.7623,0.7539,0.7042,0.7394,0.7253,0.7382,0.6967,0.6795,0.7094,0.6579
M15,0.7650,0.7983,0.7985,0.7841,0.7565,0.8240,0.7766,0.7485,0.7940,0.7412,0.8879,0.7606,0.8298,0.7467,1.0000,0.7929,0.7410,0.7501,0.7411,0.7637,0.7440,0.7240,0.7546,0.7261,0.6877,0.7419,0.7405
M16,0.7691,0.7848,0.8551,0.7955,0.7612,0.7898,0.7401,0.7102,0.7381,0.7876,0.8002,0.7040,0.6996,0.7062,0.7929,1.0000,0.7532,0.7129,0.6768,0.7079,0.7059,0.6732,0.6905,0.6694,0.6502,0.6518,0.6697
M17,0.7766,0.7324,0.7471,0.7377,0.7461,0.7109,0.7493,0.7393,0.7229,0.7993,0.7754,0.7151,0.7010,0.7441,0.7410,0.7532,1.0000,0.6783,0.6931,0.6706,0.7124,0.6478,0.6912,0.7385,0.6147,0.6778,0.6379
M18,0.7415,0.7530,0.7401,0.7534,0.7348,0.7763,0.7781,0.7643,0.8264,0.6886,0.7864,0.7358,0.7612,0.7623,0.7501,0.7129,0.6783,1.0000,0.7581,0.7588,0.7416,0.7638,0.7843,0.6867,0.7224,0.7609,0.6982
M19,0.7375,0.8111,0.6966,0.7905,0.7134,0.8082,0.7951,0.7544,0.8721,0.6494,0.7618,0.7470,0.8040,0.7539,0.7411,0.6768,0.6931,0.7581,1.0000,0.7334,0.8332,0.8018,0.8897,0.8587,0.7312,0.8926,0.7234
M20,0.7154,0.7748,0.7474,0.7115,0.7721,0.7831,0.7336,0.7627,0.7583,0.7071,0.7627,0.8187,0.7819,0.7042,0.7637,0.7079,0.6706,0.7588,0.7334,1.0000,0.7146,0.7794,0.7774,0.7120,0.7252,0.7699,0.7874
M21,0.7081,0.8174,0.6989,0.7616,0.7350,0.7501,0.8124,0.7575,0.7848,0.6775,0.7678,0.7629,0.8225,0.7394,0.7440,0.7059,0.7124,0.7416,0.8332,0.7146,1.0000,0.7491,0.8185,0.8488,0.6703,0.8578,0.6927
M22,0.7247,0.8306,0.7252,0.7447,0.6773,0.8108,0.7517,0.6815,0.8314,0.6207,0.7512,0.7044,0.8048,0.7253,0.7240,0.6732,0.6478,0.7638,0.8018,0.7794,0.7491,1.0000,0.8050,0.7364,0.8092,0.8405,0.8352
M23,0.6901,0.7722,0.6752,0.7533,0.7037,0.8170,0.7938,0.7579,0.8640,0.6545,0.7600,0.7731,0.8048,0.7382,0.7546,0.6905,0.6912,0.7843,0.8897,0.7774,0.8185,0.8050,1.0000,0.7993,0.7505,0.8828,0.7453
M24,0.6920,0.7802,0.6642,0.7248,0.7127,0.7212,0.7586,0.7313,0.7500,0.6890,0.7232,0.7359,0.7870,0.6967,0.7261,0.6694,0.7385,0.6867,0.8587,0.7120,0.8488,0.7364,0.7993,1.0000,0.6501,0.8442,0.7087
M25,0.6821,0.7016,0.6767,0.6938,0.6702,0.7423,0.6802,0.6816,0.7271,0.6076,0.7180,0.6413,0.6880,0.6795,0.6877,0.6502,0.6147,0.7224,0.7312,0.7252,0.6703,0.8092,0.7505,0.6501,1.0000,0.7631,0.7679
M26,0.6931,0.8020,0.6814,0.7519,0.6862,0.7879,0.7609,0.7505,0.8241,0.6309,0.7638,0.7361,0.8351,0.7094,0.7419,0.6518,0.6778,0.7609,0.8926,0.7699,0.8578,0.8405,0.8828,0.8442,0.7631,1.0000,0.7998
M27,0.6809,0.7592,0.7000,0.7102,0.6757,0.7453,0.6940,0.6817,0.7253,0.6474,0.7346,0.7352,0.7903,0.6579,0.7405,0.6697,0.6379,0.6982,0.7234,0.7874,0.6927,0.8352,0.7453,0.7087,0.7679,0.7998,1.0000
