memory_id,022fb5a3-e07d-4abf-8a47-b6026b1251a6,03589c65-1e31-420f-bf6d-330b235326cc,0990ff58-d164-475b-a775-8d4871a292ed,0fe4d37f-ecfa-49e9-bbc6-d73318fb7fd8,13455267-94f8-4b3b-84d0-f0eab23fe151,18d2fdd3-e0df-4cf2-b748-c89cb0cbbe4c,1b6d097d-24f6-4405-ac63-6c9660302c2c,1debac74-74d9-4441-94e5-5520588d8b6d,20c6b5ea-d503-4b96-81da-c38452558077,2464d706-28cb-44f9-a2dc-c5551f7050c4,2564e8ce-4057-40af-8def-00190c3ea5db,268223c8-213f-4bbc-a6a4-63597168712a,26ab2897-20e2-4904-afad-440db71ce2d1,2738b595-6687-4f32-9f8a-5684744574e3,27f20798-27ef-42b2-80b7-bf04abe42126,282a1048-f358-40a5-b789-2464d9c3472f,28bf0b8d-c562-432d-8e81-264bcbe1d8aa,2a92f7b2-73bf-4974-85ce-7e8b504c6388,2f869155-9718-48c4-8595-ae8f48ff7d38,3408c409-4a97-4593-be4c-06290b2b1744,3712bc6f-eadd-4ac8-8bab-fccf8fca71aa,3932f81c-4dbf-459c-831f-ef9c678c4282,3a31d77f-e3e4-4f8b-862d-f086ce28d31f,3fc452db-6a6d-4b6c-a2a2-3afcede1f089,41ffc229-bb78-41ec-afe5-2bf43d5ec774,42e1076d-0f1f-4e64-8b6e-274a2789b6c8,469dd7a6-ac62-4a48-b40d-9960b62058fe,46fbb66c-6655-4152-9678-d7f68de2abc5,4eb61e0b-502b-4d18-86d7-b215c7b98bf0,50ca257b-4db2-41aa-9252-d0c0c49e24b6,50f32f80-04b3-4d15-a554-7ac011a2aa00,51fbb20b-b38b-4ed4-bca6-84cfc66184f6,5322098e-cd0d-4917-bcfc-412c7a5fc710,5e08a29b-8ff4-4ad0-9ae2-fafed3878b9e,60399af8-5232-4cf4-9c37-4f6fb707b36b,66d9e9aa-8b57-42dd-a71c-2f348c36012f,67609af4-3bdc-48c8-b0b0-839470eebeed,68096db0-ed0f-4cef-ab70-c5b85bdd42a7,682c477c-8b01-4612-a549-d49996a36aa8,68c993a0-5b56-4875-a4b6-76be43f258dd,7a19dd1f-b0b9-4b33-929a-5b3a6b5a818b,7e337335-3683-45a8-ab2a-7a846eb18a7b,8221c2f0-0652-4504-9478-9838cd8b55e5,8555dbec-e3cb-43ae-af1e-1a9447acd013,89e7a04e-5462-4198-9037-93aff3c0beff,8af6b771-fd21-4539-adab-02597d632c60,981f2702-aad7-4e05-93c3-a7ce9842ac8d,9af1d8d4-5adc-47be-ac53-a76cac057570,9ecbe534-b26b-44e5-a6d6-601865aa69ed,a2e2aacf-6fac-469b-b845-714774f10c1e,a3d2403e-7830-4f71-b17c-0b545b2d06f7,a7f2b660-e1d9-41d2-9547-c54d2d2aa8d9,a8b7caf6-c76c-4102-a01e-9f1f036a1096,acafb721-820a-4382-9ccb-af7cd28de301,ad7aee3d-0fb0-476b-9998-b237f6dd6513,ae404ce5-f14e-4aa9-9fa0-7730083fb0b6,b6075548-540c-43b2-8d9f-4f3098b93ff5,b73a3e33-c270-4144-8a8e-c6abd315fb2e,b85903b3-161f-4600-a267-d59fb2e5e1a9,bb83d753-0429-4747-8236-b50e219ec0c7,bbfecab0-aa7e-4847-86a4-87cf2c608d41,bc3cbcb7-e622-42b8-b474-5771f4dd1213,bd604ca2-c559-4abb-bcdd-04daccdf7a26,c84dbcad-737e-424d-9976-82b210006375,cd6adfa1-7bac-4768-8ae0-32e6ded68a56,ce9e8400-261a-48fd-9902-02f1d2d38d2d,cecd6ef0-729b-4654-b593-163d846e9f03,d18a2ff3-ff62-4a18-b0a5-d612f43ad665,d24b6c14-5154-44f8-821b-ca73a50ed231,d78911ea-9ae5-4d84-a1f1-9436e13c1c80,da20530f-91b4-4e56-b6cd-52dec49a51a2,da2ac117-9838-494e-8d09-ea0dc0698408,dc773d73-beee-4f45-bd93-ddd0825f9e00,dec046ae-6dc1-4cde-a72b-61ed386b358a,e0b497d4-42c8-40cd-8fdd-a6d00825a2af,e4bf5cf2-ba01-4837-a850-a193bb353bb0,e74badef-cdf3-4a67-acf6-bdc4c380a005,e7710aa7-517b-4193-80be-06f518f0cf5d,e7b5cbf4-f7a5-410d-a990-4c2928eedbbb,e9781779-76fd-439e-a2a6-35d7127c0205,e97a5e9f-5c63-4545-8b10-3739fa5f1a29,ecb9dd82-a698-4869-a7c8-50cdf42466e5,ed299047-266d-4676-9a9c-554750292118,f1a5b77e-a007-4031-949c-dfcaf494b82e,f41f137b-c8f2-4930-b605-30db5606ff81,f44650d8-fb25-410b-9125-c016c7e783e8,f6bf9be4-df61-4a23-a6dc-4577918d8796,fab5bcdc-dbd5-432a-92c6-1b689067b39f,fc33cb12-396e-45ee-836b-4988d0ae9d9a,fcfa3f84-b3ad-4a7b-bd1d-8f8898a5a05f,fef929f6-a3a0-4bd2-87f7-b78cfdf47b32
022fb5a3-e07d-4abf-8a47-b6026b1251a6,1.0,0.39604372,0.34274188,0.3916759,0.40063787,0.53917605,0.3527731,0.38117468,0.4796456,0.2812609,0.31078106,0.3100754,0.42776483,0.36835417,0.37080482,0.2899108,0.3256412,0.38185623,0.27517417,0.22819172,0.55181247,0.3730109,0.31067288,0.43314728,0.4946759,0.38557976,0.3377926,0.27905232,0.30010223,0.33538532,0.30126908,0.44028115,0.3979565,0.5100356,0.35255188,0.29861158,0.246265,0.44538364,0.34772366,0.3076493,0.28045532,0.48991054,0.26879624,0.33570993,0.42642337,0.28122902,0.34097624,0.37015337,0.41772014,0.4521694,0.35730577,0.24243006,0.50370586,0.40734643,0.34745753,0.4065337,0.37346834,0.29292405,0.25404567,0.38834548,0.35427523,0.49309537,0.27123868,0.35400286,0.36665124,0.5629941,0.33381855,0.3112644,0.43483374,0.24869493,0.24092895,0.28832072,0.24321894,0.4461917,0.51662403,0.3120244,0.42208272,0.3024581,0.26041827,0.3448282,0.46552315,0.48182562,0.45005745,0.32077304,0.2973765,0.40369713,0.50086516,0.35574913,0.31792158,0.35354176,0.37448597
03589c65-1e31-420f-bf6d-330b235326cc,0.39604372,0.99999994,0.28171605,0.39731145,0.5134264,0.39904022,0.37350255,0.36625588,0.49368554,0.32513613,0.3180287,0.4019232,0.3759832,0.4945703,0.43605748,0.29151303,0.33011886,0.41204166,0.27504367,0.2985925,0.49004516,0.5130717,0.4284336,0.43442392,0.45383847,0.38692462,0.39293265,0.39750704,0.3186201,0.50731623,0.44009227,0.38170382,0.41937226,0.41379794,0.46041185,0.28010362,0.39931965,0.5115694,0.3209782,0.4038378,0.32693312,0.55960107,0.331452,0.39612675,0.5354508,0.33703473,0.54054534,0.53538775,0.470048,0.35597414,0.44970667,0.3449288,0.43109053,0.41108495,0.3864494,0.40613157,0.37870303,0.38375214,0.4726925,0.4486146,0.52219,0.45220459,0.29411155,0.42834502,0.38756388,0.40871722,0.34943128,0.5025613,0.36839747,0.33162406,0.38381708,0.39557767,0.34004325,0.55748445,0.49536252,0.38125715,0.34365386,0.37458175,0.3319102,0.3632223,0.51733077,0.517169,0.533835,0.48158795,0.40780458,0.4988839,0.48567775,0.3441772,0.47705865,0.39205426,0.40043318
0990ff58-d164-475b-a775-8d4871a292ed,0.34274188,0.28171605,1.0,0.20038038,0.21429637,0.23774956,0.25500107,0.23557979,0.35765958,0.260782,0.330031,0.39299428,0.23168926,0.2616241,0.27091157,0.37216872,0.42870915,0.2597647,0.4568681,0.29020357,0.2069897,0.48092008,0.42142093,0.32462817,0.36609504,0.25721857,0.2940812,0.17998657,0.348725,0.21639162,0.4132963,0.27216363,0.19652519,0.23430495,0.35342154,0.3769337,0.46420074,0.28064016,0.21881792,0.26222688,0.45939237,0.35627937,0.32693833,0.26920867,0.38738543,0.34101748,0.30082226,0.2137677,0.22940499,0.27913758,0.24471855,0.45069438,0.24543911,0.27148154,0.22050464,0.3313365,0.24004751,0.3276925,0.2217834,0.28551704,0.27711064,0.3392803,0.1335717,0.3785522,0.35943294,0.21175098,0.4282875,0.16103753,0.2520259,0.21320525,0.33254385,0.3527924,0.4377414,0.306835,0.18036805,0.27227515,0.46710658,0.36600292,0.43818873,0.3378438,0.29365385,0.24983335,0.4319166,0.34890267,0.16582735,0.25551987,0.37692612,0.17216659,0.30971336,0.28062135,0.2737388
0fe4d37f-ecfa-49e9-bbc6-d73318fb7fd8,0.3916759,0.39731145,0.20038038,1.0,0.547789,0.38704956,0.3318106,0.37694365,0.2916358,0.29223305,0.37218177,0.3217842,0.40850273,0.46846247,0.39363492,0.24358267,0.24423487,0.44502476,0.2219483,0.22850329,0.38882697,0.27458718,0.3304906,0.33643025,0.38848215,0.3797634,0.43988407,0.30966258,0.22536922,0.36424667,0.30416113,0.3894962,0.38504273,0.4779121,0.29476234,0.320469,0.23871836,0.3445022,0.39692074,0.5782355,0.19968033,0.31575587,0.2096663,0.3692264,0.3721602,0.2453197,0.4277477,0.5550146,0.38683927,0.35320184,0.37113124,0.2290043,0.43510973,0.42234236,0.7091961,0.2893776,0.28302568,0.22994456,0.33871788,0.38253483,0.37444603,0.3380704,0.33859217,0.4925813,0.28736013,0.3644225,0.2845047,0.6157062,0.3711309,0.6436043,0.34999627,0.2769361,0.32827374,0.44818765,0.42644894,0.31413543,0.30483907,0.31429544,0.20315006,0.2771672,0.5197625,0.37902492,0.288054,0.26809305,0.32240522,0.56619406,0.31894213,0.5957625,0.31207234,0.45407373,0.37068248
13455267-94f8-4b3b-84d0-f0eab23fe151,0.40063787,0.5134264,0.21429637,0.547789,1.0,0.35047197,0.43926656,0.43799835,0.35865256,0.29610342,0.24302867,0.29826277,0.4245404,0.37645936,0.52542704,0.21563879,0.22839838,0.63585067,0.21223062,0.25376785,0.36855236,0.24713781,0.2811942,0.3882399,0.46585965,0.34756845,0.43931317,0.3988874,0.23883133,0.40387318,0.28718328,0.4357017,0.43757123,0.4234372,0.38217884,0.36871558,0.25003493,0.43330568,0.51692975,0.36925015,0.33094954,0.36112502,0.27521563,0.48441678,0.42848885,0.25419033,0.42953938,0.63252306,0.6446773,0.33074644,0.36121216,0.27643353,0.34382665,0.6247452,0.61461604,0.43703562,0.5503206,0.26399943,0.3724606,0.407295,0.3520531,0.37444597,0.3021201,0.39293307,0.24605176,0.39363134,0.27808028,0.7045659,0.39225382,0.44341475,0.276725,0.36263993,0.24838081,0.59439063,0.38978228,0.4242397,0.33318907,0.27262327,0.257366,0.33607808,0.64023286,0.35423175,0.35207656,0.31679785,0.41172427,0.6963699,0.36630166,0.46053112,0.40652007,0.36213076,0.5025868
18d2fdd3-e0df-4cf2-b748-c89cb0cbbe4c,0.53917605,0.39904022,0.23774956,0.38704956,0.35047197,1.0,0.31123832,0.33687407,0.48125345,0.20757383,0.35390374,0.28528655,0.5553839,0.36807355,0.2908935,0.23562786,0.3643158,0.3258536,0.26048267,0.217957,0.7757775,0.31666198,0.34456584,0.4070562,0.37418795,0.3760875,0.28013802,0.28283668,0.27100468,0.36747056,0.33760107,0.51549256,0.42602414,0.7387989,0.30984563,0.35945904,0.19795612,0.428804,0.26074797,0.25375694,0.16401318,0.47220898,0.28941178,0.32479137,0.38780633,0.25423324,0.3733666,0.39308423,0.3936328,0.33239335,0.39926332,0.237162,0.6087626,0.36990386,0.29063153,0.36768115,0.34804344,0.2533049,0.31208867,0.4267473,0.4204262,0.4108677,0.31385607,0.34567904,0.28825802,0.67655456,0.2613165,0.33774844,0.35169485,0.22993219,0.25519854,0.3204869,0.20068946,0.419195,0.8547629,0.27700603,0.32831615,0.2739511,0.20472273,0.2878911,0.40070236,0.56516266,0.45114672,0.29299533,0.30801487,0.34844565,0.47606623,0.2727937,0.34065506,0.3014273,0.27930143
1b6d097d-24f6-4405-ac63-6c9660302c2c,0.3527731,0.37350255,0.25500107,0.3318106,0.43926656,0.31123832,1.0000001,0.30623198,0.36873996,0.36408177,0.28464103,0.31390202,0.41301888,0.2952851,0.3270385,0.27402598,0.30453068,0.38770556,0.20432377,0.2778422,0.30762005,0.29951528,0.23686627,0.33402246,0.36306012,0.308901,0.3605407,0.28231224,0.25781736,0.40869188,0.27257055,0.45232207,0.39779612,0.40266478,0.29928052,0.295887,0.21234389,0.56526375,0.26108778,0.26914746,0.26581842,0.39643136,0.36473975,0.28793094,0.33705735,0.2170886,0.38470793,0.38428655,0.40940505,0.29643542,0.37583923,0.20316285,0.3328317,0.37593952,0.3429003,0.28231585,0.3205282,0.32938188,0.22734106,0.34781379,0.22809044,0.34579688,0.19386794,0.36002392,0.26934218,0.30175543,0.29189107,0.36261994,0.23978776,0.33534235,0.20233627,0.24068324,0.24931596,0.41203016,0.2909204,0.7658509,0.30343428,0.2823643,0.27320266,0.36484134,0.39164934,0.3758352,0.37827218,0.30574596,0.30879813,0.43329436,0.3789571,0.29125744,0.33517355,0.35520694,0.3454376
1debac74-74d9-4441-94e5-5520588d8b6d,0.38117468,0.36625588,0.23557979,0.37694365,0.43799835,0.33687407,0.30623198,1.0,0.3634529,0.2685951,0.2802965,0.3476005,0.3406963,0.306584,0.38047475,0.20454818,0.219333,0.2886778,0.23299846,0.31600326,0.37513468,0.31781974,0.33473685,0.32932854,0.36233833,0.28396475,0.35939282,0.34990302,0.300236,0.27999344,0.33290833,0.35028863,0.40364903,0.36320522,0.35964468,0.34287316,0.21693885,0.37309194,0.5166565,0.2546471,0.2579733,0.39007062,0.26954463,0.41868964,0.42416888,0.19442572,0.37843776,0.35695273,0.64594245,0.32693872,0.26209795,0.2662768,0.31050467,0.31033802,0.39974228,0.54053426,0.6539165,0.24332573,0.25968564,0.27929607,0.2694405,0.36613104,0.30384696,0.2666663,0.24772483,0.3888011,0.22944358,0.33116844,0.33712626,0.31360355,0.26619327,0.28472203,0.2709666,0.3576815,0.37114552,0.3155919,0.31752986,0.3175861,0.38022614,0.2492238,0.41481856,0.41860288,0.36199442,0.3032475,0.34134942,0.37671998,0.36670357,0.30753237,0.21578968,0.3561027,0.3568942
20c6b5ea-d503-4b96-81da-c38452558077,0.4796456,0.49368554,0.35765958,0.2916358,0.35865256,0.48125345,0.36873996,0.3634529,0.9999998,0.2893626,0.30114916,0.42725253,0.42364937,0.41802943,0.34184977,0.34765697,0.4301491,0.34585303,0.35266638,0.26395312,0.51314366,0.41625133,0.4561836,0.3861561,0.5117651,0.4328339,0.38462883,0.2685685,0.29949242,0.4498117,0.43794256,0.4536214,0.4289529,0.43649203,0.48152146,0.29990256,0.42633823,0.52400845,0.23881593,0.29045632,0.3782212,0.59325624,0.41006184,0.31416804,0.5142502,0.34995624,0.499123,0.39061147,0.43202588,0.4302566,0.48654503,0.42388642,0.522882,0.315476,0.24938533,0.37419122,0.34804887,0.3760081,0.31732026,0.40124524,0.3398661,0.5338714,0.26341152,0.3907256,0.40238664,0.4563601,0.4652258,0.25476268,0.41200697,0.24329421,0.28848666,0.40402293,0.4026183,0.4603057,0.50868815,0.3741719,0.42838126,0.39093956,0.33931845,0.42135152,0.4384948,0.5463977,0.7312432,0.47925293,0.3575562,0.36847425,0.8066091,0.27448022,0.3949055,0.4182093,0.35172522
2464d706-28cb-44f9-a2dc-c5551f7050c4,0.2812609,0.32513613,0.260782,0.29223305,0.29610342,0.20757383,0.36408177,0.2685951,0.2893626,1.0,0.32204443,0.29043564,0.26671907,0.32077074,0.28379264,0.28810766,0.2578023,0.272176,0.29342842,0.38582247,0.26090503,0.28723237,0.29372948,0.28800976,0.36322242,0.42333513,0.30744302,0.27475286,0.4618137,0.4383843,0.28670144,0.26185292,0.24873352,0.23492467,0.2910146,0.35682976,0.22685793,0.35597143,0.21976754,0.3213163,0.22836253,0.3004465,0.231938,0.26256904,0.36179104,0.21892956,0.31535053,0.28843623,0.26529175,0.28238666,0.48794806,0.21342584,0.31894785,0.23986855,0.26764834,0.23959151,0.25561425,0.23330253,0.3446517,0.30669153,0.37909555,0.28443068,0.2495825,0.3827943,0.30763578,0.30489582,0.27289557,0.26830918,0.25282973,0.2854182,0.2982029,0.23817176,0.20935965,0.24724437,0.26724467,0.4201588,0.3316251,0.29733562,0.2694192,0.43126088,0.31737596,0.28155398,0.3194308,0.28166747,0.30511126,0.3129195,0.32614997,0.33636215,0.29991823,0.49361825,0.25618204
