rank,index_i,index_j,similarity,id_i,id_j,title_i,title_j
1,15,64,0.8977767,282a1048-f358-40a5-b789-2464d9c3472f,cd6adfa1-7bac-4768-8ae0-32e6ded68a56,Untitled,Untitled
2,20,65,0.8768753,3712bc6f-eadd-4ac8-8bab-fccf8fca71aa,ce9e8400-261a-48fd-9902-02f1d2d38d2d,Untitled,Untitled
3,14,90,0.86277163,27f20798-27ef-42b2-80b7-bf04abe42126,fef929f6-a3a0-4bd2-87f7-b78cfdf47b32,Untitled,Untitled
4,20,74,0.86048836,3712bc6f-eadd-4ac8-8bab-fccf8fca71aa,e0b497d4-42c8-40cd-8fdd-a6d00825a2af,Untitled,Untitled
5,5,74,0.8547629,18d2fdd3-e0df-4cf2-b748-c89cb0cbbe4c,e0b497d4-42c8-40cd-8fdd-a6d00825a2af,Untitled,Untitled
6,47,85,0.83995223,9af1d8d4-5adc-47be-ac53-a76cac057570,f44650d8-fb25-410b-9125-c016c7e783e8,Untitled,Untitled
7,48,56,0.8328656,9ecbe534-b26b-44e5-a6d6-601865aa69ed,b6075548-540c-43b2-8d9f-4f3098b93ff5,Untitled,Untitled
8,8,86,0.8066091,20c6b5ea-d503-4b96-81da-c38452558077,f6bf9be4-df61-4a23-a6dc-4577918d8796,Untitled,Untitled
9,17,73,0.8019922,2a92f7b2-73bf-4974-85ce-7e8b504c6388,dec046ae-6dc1-4cde-a72b-61ed386b358a,Untitled,Untitled
10,17,53,0.7935188,2a92f7b2-73bf-4974-85ce-7e8b504c6388,acafb721-820a-4382-9ccb-af7cd28de301,Untitled,Untitled
11,53,90,0.7804449,acafb721-820a-4382-9ccb-af7cd28de301,fef929f6-a3a0-4bd2-87f7-b78cfdf47b32,Untitled,Untitled
12,5,20,0.7757775,18d2fdd3-e0df-4cf2-b748-c89cb0cbbe4c,3712bc6f-eadd-4ac8-8bab-fccf8fca71aa,Untitled,Untitled
13,6,75,0.7658509,1b6d097d-24f6-4405-ac63-6c9660302c2c,e4bf5cf2-ba01-4837-a850-a193bb353bb0,Untitled,Untitled
14,11,30,0.7571146,268223c8-213f-4bbc-a6a4-63597168712a,50f32f80-04b3-4d15-a554-7ac011a2aa00,Untitled,Untitled
15,23,27,0.74818355,3fc452db-6a6d-4b6c-a2a2-3afcede1f089,46fbb66c-6655-4152-9678-d7f68de2abc5,Untitled,Untitled
16,53,73,0.73912656,acafb721-820a-4382-9ccb-af7cd28de301,dec046ae-6dc1-4cde-a72b-61ed386b358a,Untitled,Untitled
17,5,33,0.7387989,18d2fdd3-e0df-4cf2-b748-c89cb0cbbe4c,5e08a29b-8ff4-4ad0-9ae2-fafed3878b9e,Untitled,Untitled
18,11,16,0.7378553,268223c8-213f-4bbc-a6a4-63597168712a,28bf0b8d-c562-432d-8e81-264bcbe1d8aa,Untitled,Untitled
19,65,74,0.7366096,ce9e8400-261a-48fd-9902-02f1d2d38d2d,e0b497d4-42c8-40cd-8fdd-a6d00825a2af,Untitled,Untitled
20,8,82,0.7312432,20c6b5ea-d503-4b96-81da-c38452558077,ed299047-266d-4676-9a9c-554750292118,Untitled,Untitled
21,14,53,0.72871983,27f20798-27ef-42b2-80b7-bf04abe42126,acafb721-820a-4382-9ccb-af7cd28de301,Untitled,Untitled
22,12,33,0.7264689,26ab2897-20e2-4904-afad-440db71ce2d1,5e08a29b-8ff4-4ad0-9ae2-fafed3878b9e,Untitled,Untitled
23,12,32,0.7155787,26ab2897-20e2-4904-afad-440db71ce2d1,5322098e-cd0d-4917-bcfc-412c7a5fc710,Untitled,Untitled
24,73,90,0.7123212,dec046ae-6dc1-4cde-a72b-61ed386b358a,fef929f6-a3a0-4bd2-87f7-b78cfdf47b32,Untitled,Untitled
25,49,68,0.7109892,a2e2aacf-6fac-469b-b845-714774f10c1e,d24b6c14-5154-44f8-821b-ca73a50ed231,Untitled,Untitled
26,3,54,0.7091961,0fe4d37f-ecfa-49e9-bbc6-d73318fb7fd8,ad7aee3d-0fb0-476b-9998-b237f6dd6513,Untitled,Untitled
27,4,67,0.7045659,13455267-94f8-4b3b-84d0-f0eab23fe151,d18a2ff3-ff62-4a18-b0a5-d612f43ad665,Untitled,Untitled
28,4,85,0.6963699,13455267-94f8-4b3b-84d0-f0eab23fe151,f44650d8-fb25-410b-9125-c016c7e783e8,Untitled,Untitled
29,36,51,0.6953479,67609af4-3bdc-48c8-b0b0-839470eebeed,a7f2b660-e1d9-41d2-9547-c54d2d2aa8d9,Untitled,Untitled
30,17,90,0.69172454,2a92f7b2-73bf-4974-85ce-7e8b504c6388,fef929f6-a3a0-4bd2-87f7-b78cfdf47b32,Untitled,Untitled
31,24,61,0.68981063,41ffc229-bb78-41ec-afe5-2bf43d5ec774,bc3cbcb7-e622-42b8-b474-5771f4dd1213,Untitled,Untitled
32,37,41,0.68873477,68096db0-ed0f-4cef-ab70-c5b85bdd42a7,7e337335-3683-45a8-ab2a-7a846eb18a7b,Untitled,Untitled
33,20,33,0.6828318,3712bc6f-eadd-4ac8-8bab-fccf8fca71aa,5e08a29b-8ff4-4ad0-9ae2-fafed3878b9e,Untitled,Untitled
34,33,74,0.6826174,5e08a29b-8ff4-4ad0-9ae2-fafed3878b9e,e0b497d4-42c8-40cd-8fdd-a6d00825a2af,Untitled,Untitled
35,67,85,0.681605,d18a2ff3-ff62-4a18-b0a5-d612f43ad665,f44650d8-fb25-410b-9125-c016c7e783e8,Untitled,Untitled
36,14,38,0.67882615,27f20798-27ef-42b2-80b7-bf04abe42126,682c477c-8b01-4612-a549-d49996a36aa8,Untitled,Untitled
37,5,65,0.67655456,18d2fdd3-e0df-4cf2-b748-c89cb0cbbe4c,ce9e8400-261a-48fd-9902-02f1d2d38d2d,Untitled,Untitled
38,36,45,0.67500746,67609af4-3bdc-48c8-b0b0-839470eebeed,8af6b771-fd21-4539-adab-02597d632c60,Untitled,Untitled
39,54,67,0.6731447,ad7aee3d-0fb0-476b-9998-b237f6dd6513,d18a2ff3-ff62-4a18-b0a5-d612f43ad665,Untitled,Untitled
40,47,67,0.6668239,9af1d8d4-5adc-47be-ac53-a76cac057570,d18a2ff3-ff62-4a18-b0a5-d612f43ad665,Untitled,Untitled
41,31,32,0.6646331,51fbb20b-b38b-4ed4-bca6-84cfc66184f6,5322098e-cd0d-4917-bcfc-412c7a5fc710,Untitled,Untitled
42,58,60,0.65812165,b85903b3-161f-4600-a267-d59fb2e5e1a9,bbfecab0-aa7e-4847-86a4-87cf2c608d41,Untitled,Untitled
43,38,43,0.657201,682c477c-8b01-4612-a549-d49996a36aa8,8555dbec-e3cb-43ae-af1e-1a9447acd013,Untitled,Untitled
44,82,86,0.6543169,ed299047-266d-4676-9a9c-554750292118,f6bf9be4-df61-4a23-a6dc-4577918d8796,Untitled,Untitled
45,7,56,0.6539165,1debac74-74d9-4441-94e5-5520588d8b6d,b6075548-540c-43b2-8d9f-4f3098b93ff5,Untitled,Untitled
46,24,34,0.6526829,41ffc229-bb78-41ec-afe5-2bf43d5ec774,60399af8-5232-4cf4-9c37-4f6fb707b36b,Untitled,Untitled
47,41,82,0.6516947,7e337335-3683-45a8-ab2a-7a846eb18a7b,ed299047-266d-4676-9a9c-554750292118,Untitled,Untitled
48,58,62,0.64986086,b85903b3-161f-4600-a267-d59fb2e5e1a9,bd604ca2-c559-4abb-bcdd-04daccdf7a26,Untitled,Untitled
49,22,30,0.64974266,3a31d77f-e3e4-4f8b-862d-f086ce28d31f,50f32f80-04b3-4d15-a554-7ac011a2aa00,Untitled,Untitled
50,80,85,0.6487636,e97a5e9f-5c63-4545-8b10-3739fa5f1a29,f44650d8-fb25-410b-9125-c016c7e783e8,Untitled,Untitled
